,preprocess_texts
2172,rt  ۳۶۰۴۱۵۶۸  ۸۹۰۳۹۳۰۲ انتخاب باید بر اساس تقوا تجربه برنامه دانش و تخصص باشه بر این اساس مصلحت کشور در این است که  آق
2173,من خود را رقیب فساد و اشرافی‌گری می‌دانم نه گروه و حزبهای سیاسی
2174,ستاد مشترک  دولت سوم روحانی تشکیل‌شده؛ گزینه نهاییش هم معلوم استنیروهای انقلابی نیز این بلوغ را دارد که  ستاد مشترک کاند
2175,کاندیداهاشون از خاتمی به روحانی و از روحانی به لاریجانی تنزل پیدا کرد دور بعد هم جلیلیه احتمالا
2176,فیلم نسخه ضعیفی از پنجره پشتی هیچکاک بود با کمی تغییرات کارکتربازی امی ادامز خوب بود مثل همیشه و کمی هیجان در فیلم / / t co / z ۹۱ kgvb ۰ lk
2177,rt  ۳۰۰۰ اصحاب ما می‌توانیم  رئیسی متشکریم / / t co / zmlznzgqd ۳
2178,۱۵۲۱۶۹۳۹ خوش برگشتید جناب سامان عزیز امیدواریم همیشه سلامت باشید
2179,۱۴ برای مردمی کردن اقتصاد باید با نظام اقتصادی لیبرال و سوسیالیستی مرزبندی روشن داشته باشیم  / / t co / lugqgeazsx
2180,rt  ۷ اونی که شعار عدالت و مبارزه با آقازادگی و تبعیض رو در عمل نشون داد اومد کاری نکنید که شاهد دولت سوم روحانی باشیم  رئیس
2181,یاور مظلومان حمایتت می‌کنیم رئیسی متشکریم
2182,۲ البته کثافتای اصلاحات خیلی بیشتره
2183,حاجی این توییت ایستراگ داره
2184,خواهش می‌کنم بلندر
2185,فقط سه سالش بود مرگ بر رژیم کودک کش اسرائیل / / t co / cac ۸ mxj ۶ rv
2186,باشه اگه میشه گوه فوتبالی‌ها رو نخورید
2187,با حرف‌های رییسی بیشتر نام حاج قاسم از ذهنمان رد می‌شود  رئیسی متشکریم
2188,بانیان و شرکای وضع موجود نمی‌توانند تغییردهنده وضعیت فعلی باشند
2189,اگه رئیسی ثبت‌نام کنه رد صلاحیت دکتر احمدی‌نژاد حتمی
2190,اگه خوب بود جاش بگو
2191,فازتون چیه به حرفای مجیدی میگید اعتراضی من از وزیر و وکیل و هر سگی که تو این کشور مسئوله متنفرم ولی مجیدی اگه معترض بود و
2192,۶۴ تنها کسی که می‌تواند قشر ضعیف و آسیب‌پذیر جامعه رو از این وضعیت نجات دهد کسی جز محسن رضایی که خود از / / t co / ۷ soxw ۳ tye ۳
2193,rt  ۱۳۵ اسرائیل جمیل صفوری یکی از اعضای أبناء البلد رو دستگیر کرد
2194,رسما از شما عذر خواهی می‌کنمنیاز به فردا نیستهمین امروز
2195,کف مطالبات رسیده به رقص و ساک زدن وسط خیابون و برداشتن روسری موقع رانندگی کیرم تو روحیه براندازیتون
2196,۹ چی شده
2197,۷۴۹۵ عهه من اهنگ تو در مسافت بارانی شنیده بودم فک کردم من دقت نکردم  مرسی
2198,جوجو مویز خیلی وقته افول کرده به نظرم آثارش دیگه ارزش خوندن ندارن
2199,جنت جایش
2200,اخه جنده حرومی کص بابات که جاج فیس می‌کنی ولد کون
2201,rt  ۸۶ اسپیس معرفی و بررسی اکوسیستم استیبل کوین‌ها توسط مهدی صالحی عزیز یکشنبه ۲ خ
2202,امپراتور تپه‌ها و وعده‌ها جهانگیری وارد می‌شود / / t co / ej ۶ nlpwikp
2203,استنلی کوبریکهر قدر هم تاریکی وسیع باشد؛ این ماییمکه باید روشنایی خود را تامین کنیم
2204,۳۱۳ خودم که مشهد تهرانم نمیدونم وقت تبلیغات کوجام
2205,۷۶ a  آره دادا خیلی زیاد
2206,به خدا که این رای بیاره وضعیت کشور به مراتب بهتر میشه چون مسلما وابسته نیست فقط واسه خودش یه گوشه کسخله / / t co / bmo
2207,محسن رضایی شرکت‌های بزرگ اقتصادی مثل سازمان اقتصادی آستان قدس را باید مردمی کرد  آقامحسن ایران اقدام و تحول محسن
2208,چه زیبا می‌گفت ‌
2209,rt  ۲۶  قالیباف نیامد و به نظرم هوشمندانه‌ترین تصمیم رو برخلاف آقای رئیسی گرفت در هرصورت  یا احمدی یا هیچ احدی احمدی نژاد
2210,۵ آه که چقدر از نادانی ملت سواستفاده کردند این قوم جنایتکار هنوز هم پس از روشن شدن این قضایا هستند کسانی که / / t co / emtfgghneu
2211,ای فارس‌های مشروطه‌خواه فاشیست
2212,۶۸   ۲   حالا علت جاذبه نیست بلکه حرکت مداوم سیارات و محتویات اونا ه / / t co / len ۲ hoixbo
2213,بجای جاج فیس برو درستو بخون کنکور رو قبول شی سن خر نوح رو داری حرومی / / t co / gzircxkhg ۱
2214,۷۳۹۴ خب شماهم تا حالا با دختر امتحان نکردی مطمئنی همجنسگرا نیستی  این چه استدلاله مسخره ایه / / t co / d ۷ rk ۷ ktpzx
2215,بنظرم خیلی سبک شروع کردیحداقل ۲ کیلویی می‌گرفتی لعنتی نیم کیلو شونه سرتو بلند کنی همون میشه‍♂️
2216,۳ sasha ۴ پیرمرد فکرشو نمی‌کرد
2217,مدل ۹۹ ش حدود ۲۹۰ عهولی چک کن نمایندگی مدیران خودرو یسر بزنشرایطی میدناینارو کسی نقدی نمیخرهیا مدل ۹  / / t co / cotxb ۶ k ۲ fq
2218,۱۳۰۰ هرچی قرعه آسون‌تر بهتر
2219,سو یونمین شیپرها بیان این زیر منشن بزارن
2220,بشیکتاش قهرمان میشه دلتونو صابون نزنین
2221,مرکز خرید ایران‌مال واکسن می‌زنه از متولدین ۱۳۳۰ نوبت‌دهی منظم داره و پارکینگتقریبا هر ۳ ثانیه یک نفر شماره‌اش خونده میشه
2222,می‌گفت پسرم پرواز واسه کفتر جلد یه خوشی مضحکهبهش آب و دون بدی خداش تویی
2223,rt  ۷۷۱ استقلالیا تا دارید شکایت می‌کنید از عیسیازینم شکایت کنیدبی ادبه / / t co / jwclu ۰ sphc
2224,مرکز واکسیناسیون  ایرانمال با ۱۰۰ صندلی برای تزریق  واکسن کرونا با حضور فرمانده بسیج افتتاح شد با مشارکت بنیاد تات دوزار
2225,۱۴۸۵    اس‌ام ریدهخاک تو سرش کننوالا نمیذونم چه گوهی داره میخوره
2226,از ۱۰ سال کار کردن زانیار ۶ سال ممنوع الکارش کردین خب چرا ازش نمیکشین بیرون لنتیا
2227,rt  ۹۱۱۹ حالا کامل شد انقلاب اسلامی‌مان را از دست نااهلان و نامحرمان پس خواهیم گرفت   جلیلی رئیسی
2228,ابراهیم رئیسی حامی ایران مرد عمل وارد صحنه انتخابات شد رئیسی متشکریم / / t co / nlubko ۷ kfb
2229,کپشن با شما / / t co / ypqb ۶ gwkdg
2230,از دل برود هرانکه از دیده رود‍♂️
2231,دلم برای روزایی که کرونا نبود تنگ شده
2232,عام خبشما به جاش میتونید گیساشو بکشید
2233,بخدا خودم باید می‌بودم سوژه در می‌آوردمحیف حییف
2234,چقدر خوب گفتی مرگ بر ظلم واقعا همینقدر از چیزای ساده محرومیم جدی می‌ترسم بمیرم و نتونم موتور برونم
2235,حق‌گو شده‌ای سید
2236,از مک بابا نه
2237,آقای نتانیاهو اگه به جای واکسن کرونا به فلسطینی‌ها آمپول هوا می‌زدی الان این‌همه دردسر نداشتی
2238,خیلیی ممنون ❤️
2239,ترانه دلنشین  / / t co / jxskegcqkj
2240,محسن رضایی شرکت‌های بزرگ اقتصادی مثل سازمان اقتصادی آستان قدس را باید مردمی کرد  آقامحسن ایران اقدام و تحول محسن
2241,درد و سوزشی که وقتی پوست کنار ناخن بلند میشه ایجاد میشه >>> زخم شمشیر  exo  /
2242,۷۸ منشنی دیگر
2243,rt  ۸۸ لاریجانی و جهانگیری آمدند؛ سلام بر دلار ۲۰۰ هزار تومانی
2244,ترکیب تیم مناظره‌ای رئیسی جلیلی محمد و زکانی هر کوهی متلاشی می‌کنی  سلام بر ابراهیم
2245,قاعدتا باید تکراری و نخ‌نما باشه
2246,خوشمزه میشه خیلی فقط مثل بادمجون ترشی خیلی سرکه میره به خوردش
2247,چو ایران نباشد تن من مبادبدین بوم و بر زنده یک تن مبادبیا تا همه تن به کشتن دهیممبادا که کشور به دشمن دهیمدری / / t co / iqlir ۲ x ۰ gj
2248,امیدوارم صدای زحه هامو بشنوید؛   / / t co / n ۶۲ rpyesem
2249,این تبلیغاتم تایم لاین من نیادمرسی اه
2250,تو میگی الهه میگم کیه
2251,بیشترین جایی که احساس ضعف کردم تو زندگیم جایی بود که احساسم به منطق و عقلم غلبه کرد و با اختلاف خیلی کم فهمیدم که ب / / t co / ۳۲۰۰ d ۴۷ fuf
2252,یه یکی از ادمای تخمی کلاس ریدم و گفتم همیشه اویزون و طلبکار این و اونی از اون روز به بعد جدی داره تلاش می‌کنه و سر / / t co / kt ۶۰ g ۷ gry ۵
2253,نه اینجوری نمیخوام ببعی نیستن
2254,rt  ۶۹ وضعیت امروز معیشت ملک و ملت بیش از فیلسوف و حقوقدان به اقتصاددان نیاز دارد آن هم اقتصاددانی که میدان داری کرده باشد
2255,اره رهبر مسلمین جهان و حومه رو فقط یادت نره
2256,۸۱۰۶۴۴۱۱   عررنسمشم چ قشنگه
2257,اعتصاب نیروهای خدماتی شهرکهای صنعتی  آبادان و  خرمشهر اعتراض کشاورز  اصفهانی کشاورزان روستای پرلوک  همدان وکارگران شهرداری
2258,با اومدن آقای رئیسی یاد داستان حضرت یوسف و مصر می‌افتم ان شاالله بعد تجربه سخت و دشوار ۸ ساله روحانی با ایشون ۸ سال آسای
